"","do.call.rbind..nnpark..1...","do.call.rbind..nnpark..2..."
"845",45,4199248.69090793
"846",45,4199248.69096826
"847",45,4199248.69126585
"848",45,4199248.69120663
"849",45,4199248.69132312
"850",45,4199248.69125388
"851",45,4199248.691374
"852",45,4199248.69143194
"853",45,4199248.69137782
"854",45,4199248.69143155
"855",45,4199248.69072358
"856",45,4199248.69078545
"857",45,4199248.69084152
"858",45,4199248.69104002
"859",45,4199248.69089986
"860",45,4199248.69096596
"861",45,4199248.69101732
"862",45,4199248.69107861
"863",45,4199248.69116111
"864",45,4199248.6913922
"865",45,4199248.69150299
"866",45,4199248.69144701
"867",45,4199248.69156014
"868",45,4199248.69161613
"869",45,4199248.66324566
"870",45,4199248.66327434
"871",45,4199248.66339106
"872",45,4199248.66331352
"873",45,4199248.66342421
"874",45,4199248.66334856
"875",45,4199248.6634628
"876",45,4199248.66338468
"877",45,4199248.66350214
"878",45,4199248.66341701
"879",45,4199248.66353811
"880",45,4199248.66344535
"881",45,4199248.66356992
"882",45,4199248.66348089
"883",45,4199248.66350992
"884",45,4199248.66355166
"885",45,4199248.66370002
"886",45,4199248.66373541
"887",45,4199248.66376739
"888",45,4199248.66380524
"889",45,4199248.66383882
"890",45,4199248.66387592
"891",45,4199248.66390965
"892",45,4199248.66394048
"893",45,4199248.66412141
"894",45,4199248.66488367
"895",45,4199248.66492409
"896",45,4199248.66496341
"897",45,4199248.66500241
"898",45,4199248.66504148
"899",45,4199248.66507028
"900",45,4199248.66511101
"901",45,4199248.66527827
"902",45,4199248.66531236
"903",45,4199248.66541722
"904",45,4199248.66534248
"905",45,4199248.66545144
"906",45,4199248.66537284
"907",45,4199248.66548224
"908",45,4199248.66540676
"909",45,4199248.66552182
"910",45,4199248.66543819
"911",45,4199248.66555112
"912",45,4199248.66547495
"913",45,4199248.66558993
"914",45,4199248.66550256
"915",45,4199248.66562362
"916",45,4199248.66553292
"917",45,4199248.66555507
"918",45,4199248.66559008
"919",45,4199248.66562898
"920",45,4199248.66574198
"921",45,4199248.66577863
"922",45,4199248.66580859
"923",45,4199248.66571319
"924",45,4199248.66584043
"925",45,4199248.66587454
"926",45,4199248.6659181
"927",45,4199248.66595318
"928",45,4199248.66646649
